ID,Possession Status,Commercial,Developer,Price,sqft Price ,furnished Type,Bathroom,Facing,Transaction Type,Type of Property,City,bedroom,floors,isPrimeLocationProperty,Property Lifespan
8893,Ready to Move,N,NA,12000000,20000,Semi-Furnished,2,East,New Property,Apartment,Thane,1,8,Y,New Construction
8892,Ready to Move,N,Lodha,7200000,9486,Unfurnished,1,NA,Resale,Apartment,Thane,1,29,N,NA
8891,Ready to Move,N,Ekdanta Constructions and Developers,12500000,12500,Unfurnished,2,North - West,Resale,Apartment,Thane,2,29,N,New Construction
8890,Ready to Move,N,NA,10000000,10417,Furnished,2,South - East,Resale,Apartment,Thane,2,16,N,5 to 10 years
8889,Ready to Move,N,Godrej Properties,10200000,13333,Unfurnished,2,North - East,Resale,Apartment,Thane,2,28,N,NA
8888,Ready to Move,N,NA,6000000,11429,Semi-Furnished,1,North - East,Resale,Apartment,Thane,1,4,N,NA
8887,Ready to Move,N,NA,6500000,15663,Unfurnished,1,East,Resale,Apartment,Thane,1,9,Y,Above 20 years
8886,Ready to Move,N,NA,4200000,8235,Semi-Furnished,1,North - East,Resale,Apartment,Thane,1,3,Y,10 to 15 years
8885,Ready to Move,N,Lodha,13000000,19939,Unfurnished,2,NA,Resale,Apartment,Thane,2,24,Y,New Construction
8884,Ready to Move,N,Lodha,8900000,16152,Semi-Furnished,2,North - East,Resale,Apartment,Thane,2,29,Y,Less than 5 years
8883,Ready to Move,N,Lok Group,12000000,14371,Furnished,2,North - East,Resale,Apartment,Thane,2,7,Y,10 to 15 years
8882,Ready to Move,N,NA,8000000,10127,Semi-Furnished,2,South - East,Resale,Apartment,Thane,2,7,Y,15 to 20 years
8881,Ready to Move,N,Dosti Realty,4000000,10178,Unfurnished,3,East,Resale,Apartment,Thane,1,30,Y,New Construction
8880,Ready to Move,N,Rustomjee,16000000,19417,Semi-Furnished,2,NA,Resale,Apartment,Thane,2,22,Y,Less than 5 years
8879,Ready to Move,N,NA,7800000,14181,Semi-Furnished,2,East,Resale,Apartment,Thane,2,7,Y,Less than 5 years
8878,Ready to Move,N,NA,11000000,13580,Semi-Furnished,2,East,Resale,Apartment,Thane,2,7,Y,15 to 20 years
8877,Ready to Move,N,NA,7500000,10000,Semi-Furnished,2,NA,New Property,Apartment,Thane,1,14,N,New Construction
8876,Ready to Move,N,NA,10500000,11667,Furnished,1,East,Resale,Apartment,Thane,2,4,N,10 to 15 years
8875,Ready to Move,N,NA,12500000,12821,Semi-Furnished,2,West,Resale,Apartment,Thane,2,7,N,Less than 5 years
8874,Ready to Move,N,NA,8500000,15455,Semi-Furnished,1,East,Resale,Apartment,Thane,1,7,N,Above 20 years
8873,Ready to Move,N,BHOOMI GROUP,6000000,12903,Semi-Furnished,2,North - East,Resale,Apartment,Thane,1,17,N,5 to 10 years
8872,Ready to Move,N,NA,11000000,NA,Semi-Furnished,2,North,Resale,Apartment,Thane,2,22,N,5 to 10 years
8871,Ready to Move,N,NA,16000000,18824,Unfurnished,2,East,Resale,Apartment,Thane,2,3,N,Above 20 years
8870,Ready to Move,N,NA,7200000,10511,Unfurnished,1,East,Resale,Apartment,Thane,1,8,N,New Construction
8869,Ready to Move,N,NA,9900000,19373,Furnished,1,East,Resale,Apartment,Thane,1,7,N,15 to 20 years
8868,Ready to Move,N,Lodha,8500000,14529,Unfurnished,2,North - East,Resale,Apartment,Thane,2,28,N,New Construction
8867,Ready to Move,N,NA,4800000,8727,Semi-Furnished,1,East,Resale,Apartment,Thane,1,4,N,10 to 15 years
8866,Ready to Move,N,NA,7300000,11231,Unfurnished,1,NA,Resale,Apartment,Thane,1,12,N,15 to 20 years
8865,Ready to Move,N,NA,5500000,9167,Semi-Furnished,1,East,Resale,Apartment,Thane,1,7,N,5 to 10 years
8864,Ready to Move,N,NA,9000000,9891,Semi-Furnished,2,West,Resale,Apartment,Thane,2,7,N,5 to 10 years
8863,Ready to Move,N,NA,6500000,11207,Unfurnished,1,NA,Resale,Apartment,Thane,1,4,N,Above 20 years
8862,Ready to Move,N,NA,14900000,14190,Furnished,2,East,Resale,Apartment,Thane,2,16,N,10 to 15 years
8861,Ready to Move,N,NA,10000000,17857,Semi-Furnished,1,North - East,Resale,Apartment,Thane,1,6,N,Above 20 years
8860,Ready to Move,N,Lodha,5900000,16388,Semi-Furnished,1,North,Resale,Apartment,Thane,1,14,N,New Construction
8859,Ready to Move,N,NA,8000000,14545,Furnished,2,East,Resale,Apartment,Thane,1,21,Y,New Construction
8858,Ready to Move,N,RNA NG Builders,6000000,8205,Unfurnished,1,East,Resale,Apartment,Thane,1,7,Y,Less than 5 years
8857,Ready to Move,N,NA,9000000,10112,Furnished,1,East,Resale,Apartment,Thane,1,17,Y,5 to 10 years
8856,Ready to Move,N,BHOOMI GROUP,5300000,14324,Furnished,1,NA,Resale,Apartment,Thane,1,19,Y,New Construction
8855,Ready to Move,N,NA,8500000,NA,Unfurnished,1,North,Resale,Apartment,Thane,1,7,Y,10 to 15 years
8854,Ready to Move,N,House of Hiranandani,18800000,18800,Unfurnished,2,West,New Property,Apartment,Thane,2,34,Y,New Construction
8853,Ready to Move,N,Cosmos Group,10000000,9091,Semi-Furnished,2,East,Resale,Apartment,Thane,2,11,Y,10 to 15 years
8852,Ready to Move,N,DOSTI REALTY,20500000,NA,Unfurnished,3,NA,Resale,Apartment,Thane,3,30,Y,New Construction
8851,Ready to Move,N,Raunak Group,5400000,10305,Semi-Furnished,1,West,Resale,Apartment,Thane,1,7,Y,5 to 10 years
8850,Ready to Move,N,NA,10800000,13500,Semi-Furnished,2,North - East,Resale,Apartment,Thane,1,7,Y,5 to 10 years
8849,Ready to Move,N,Godrej Properties,15000000,18703,Unfurnished,2,East,Resale,Apartment,Thane,2,27,Y,New Construction
8848,Ready to Move,N,Godrej Properties,11000000,12644,Unfurnished,2,North,Resale,Apartment,Thane,2,7,Y,Above 20 years
8847,Ready to Move,N,Lodha,8500000,NA,Semi-Furnished,2,East,Resale,Apartment,Thane,1,30,N,New Construction
8846,Ready to Move,N,Shree Tirupati Group,11000000,9821,Unfurnished,2,NA,Resale,Apartment,Thane,2,18,N,New Construction
8845,Ready to Move,N,NA,50000000,NA,Furnished,3,NA,Resale,Villa,Thane,3,NA,N,5 to 10 years
8844,Ready to Move,N,NA,6800000,14021,Unfurnished,1,North,Resale,Apartment,Thane,1,12,N,Above 20 years
8843,Ready to Move,N,NA,6700000,14105,Unfurnished,1,NA,Resale,Residential House,Thane,1,5,N,10 to 15 years
8842,Ready to Move,N,NA,9500000,15574,Unfurnished,1,East,Resale,Apartment,Thane,1,7,N,New Construction
8841,Ready to Move,N,Godrej Properties,16000000,15238,Unfurnished,3,East,Resale,Apartment,Thane,3,20,N,New Construction
8840,Ready to Move,N,RNA NG Builders,4000000,5952,Unfurnished,1,East,Resale,Apartment,Thane,1,7,N,5 to 10 years
8839,Ready to Move,N,Hiranandani Group,9000000,15000,Unfurnished,1,North - East,Resale,Apartment,Thane,1,18,N,5 to 10 years
8838,Ready to Move,N,Lodha,6600000,14537,Unfurnished,1,North - East,Resale,Apartment,Thane,1,30,N,New Construction
8837,Ready to Move,N,NA,42500000,17708,Furnished,4,East,New Property,Apartment,Thane,5,8,N,Above 20 years
8836,Ready to Move,N,Rustomjee,12800000,18312,Semi-Furnished,2,North - East,New Property,Apartment,Thane,2,36,N,New Construction
8835,Ready to Move,N,PRESCON,5500000,13819,Unfurnished,1,South -West,Resale,Apartment,Thane,1,7,N,10 to 15 years
8834,Ready to Move,N,Lodha,10000000,9990,Unfurnished,2,East,Resale,Apartment,Thane,2,23,N,5 to 10 years
8833,Ready to Move,N,NA,11500000,9583,Unfurnished,2,East,Resale,Apartment,Thane,2,12,N,Above 20 years
8832,Ready to Move,N,NA,3000000,4839,Unfurnished,1,South,Resale,Apartment,Thane,1,4,N,Above 20 years
8831,Ready to Move,N,NA,17000000,14783,Semi-Furnished,2,East,Resale,Apartment,Thane,2,28,N,New Construction
8830,Ready to Move,N,NA,13200000,15529,Semi-Furnished,2,North,Resale,Apartment,Thane,2,7,Y,Above 20 years
8829,Under Construction,N,Shapoorji Pallonji Real Estate,15500000,19720,Unfurnished,2,North - West,Resale,Apartment,Thane,2,50,Y,NA
8828,Ready to Move,N,NA,5200000,11064,Unfurnished,1,North - East,Resale,Apartment,Thane,1,7,Y,Above 20 years
8827,Ready to Move,N,Lodha,12000000,15000,Unfurnished,2,NA,Resale,Apartment,Thane,2,18,Y,10 to 15 years
8826,Ready to Move,N,Yash Group of Realty,25000000,18182,Unfurnished,3,West,Resale,Apartment,Thane,3,9,Y,New Construction
8825,Ready to Move,N,Lodha,11000000,12865,Furnished,2,North - East,Resale,Apartment,Thane,2,30,Y,Less than 5 years
8824,Ready to Move,N,Lodha,7500000,18160,Unfurnished,2,NA,Resale,Apartment,Thane,1,29,Y,New Construction
8823,Ready to Move,N,NA,9600000,16000,Unfurnished,2,East,New Property,Apartment,Thane,1,7,Y,New Construction
8822,Ready to Move,N,NA,22000000,20522,Unfurnished,3,East,Resale,Apartment,Thane,3,27,Y,Less than 5 years
